merge sort, quick sort
1065838, 1433154
1070237, 1358835
1065517, 1309981
1062220, 1361911
1066119, 1300269
1062020, 1630465
1065528, 1321284
1065328, 1245222
1064867, 1321825
1061599, 1382866
1064074, 1455381
1066900, 1296652
1064365, 1288435
1066189, 1313598
1064044, 1466625
1060628, 1356250
1064455, 1416157
1062030, 1377785
1065026, 1380491
1065217, 1398560
1064015, 1532305
1062060, 1243508
1062351, 1405434
1061960, 1236453
1067923, 1387827
1065548, 1315021
1066330, 1351338
1065769, 1428193
1064185, 1399652
1062021, 1473109
1063964, 1275968
1062191, 1303847
1061640, 1552899
1063554, 1306442
1066189, 1563623
1067793, 1224888
1061329, 1331957
1063865, 1229298
1065177, 1276038
1063514, 1285277
1060717, 1232174
1063454, 1409043
1061970, 1294668
1062000, 1446101
1069757, 1359857
1065978, 1477749
1064185, 1394492
1066559, 1408531
1065467, 1499175
1062922, 1360017
1063864, 1263040
1062892, 1356379
1063784, 1424906
1063824, 1344504
1070919, 1370470
1067672, 1540604
1062802, 1383117
1061098, 1362653
1062571, 1393519
1067713, 1215368
1065247, 1395042
1064797, 1349675
1065027, 1385388
1062780, 1395009
1065815, 1366750
1060445, 1424482
1061036, 1269966
1061236, 1290970
1061206, 1289617
1060144, 1474336
1062900, 1313027
1064103, 1329783
1064052, 1263242
1061677, 1298456
1061065, 1464175
1100058, 1295791
1062058, 1275979
1059081, 1326886
1067650, 1382894
1064583, 1360737
1064774, 1526948
1066177, 1552682
1074685, 1414150
1070466, 1339773
1070125, 1300981
1065145, 1345214
1064343, 1465127
1068471, 1360066
1061316, 1336567
1069674, 1392303
1062018, 1515484
1064092, 1358383
1066097, 1436527
1071307, 1432318
1078082, 1430805
1063842, 1378695
1063711, 1404800
1064513, 1334061
1069514, 1451518
1069514, 1390790
1064042, 1526567
1062569, 1316364
1060915, 1284757
1069012, 1373905
1062629, 1350856
1059212, 1397254
1065856, 1425955
1070045, 1353723
1067901, 1342469
1060755, 1385740
1064934, 1341026
1059001, 1283725
1060084, 1433401
1061767, 1411514
1067630, 1434353
1063902, 1379517
1067419, 1286400
1060254, 1359685
1063341, 1322266
1071057, 1407045
1066658, 1332578
1065475, 1485099
1065595, 1283154
1067199, 1272051
1063170, 1532419
1064332, 1376621
1062629, 1272732
1060163, 1438481
1060294, 1453483
1062789, 1280589
1071828, 1307816
1068090, 1664057
1335504, 1665600
1078563, 1268593
1066878, 1504090
1065264, 1329442
1065185, 1460277
1063851, 1371149
1072650, 1297134
1064984, 1291291
1061757, 1455236
1065094, 1269034
1059182, 1353773
1066928, 1396122
1061918, 1423169
1069333, 1303728
1063432, 1264574
1080987, 1368865
1068261, 1327858
1067068, 1280729
1063491, 1325303
1065225, 1348402
1064853, 1416455
1064523, 1310752
1062529, 1386962
1062529, 1430715
1062579, 1418258
1067609, 1436958
1062649, 1262791
1067289, 1430143
